station.id;variable;value
guelpe;Feldstation:;Ökologische Station Gülpe
guelpe;Träger:;Universität Potsdam
guelpe;Landschaft:;liegt in der rezenten Überflutungsaue der Havel und im NSG
guelpe;Aktuelle Forschung:;Auenökologie, Geländepraktika für Biologie, Geoökologie, Lehramt
guelpe;Zeitraum:;ganzjährig nutzbar
guelpe;Räumlichkeiten:;Feldlabor
guelpe;Ausstattung:;Trockenschrank, Muffelofen, Zentrifuge, 20 Mikroskope, 20 Binokulare, Handbibliothek
guelpe;Übernachtung:;24 Personen in 4 Mehrbettzimmer, 4 Doppelzimmer, 1 Einbettzimmer, Schlafsack und Bettlaken sind mitzubringen
guelpe;Kosten:;3,50 EUR pro Person und Nacht
guelpe;Verpflegung:;Selbstverpflegung in Küche
guelpe;Fachfremde Veranstaltungen:;eingeschränkt möglich
guelpe;Kontakt:;Dr. Katja Geißler
guelpe;Adresse:;
guelpe;Telefon:;0049-33875-30621
guelpe;Fax:;0049-33875-30752
guelpe;Email:;kgeissle[at]uni-potsdam.de
guelpe;Anfahrt:;Bahn bis Rathenow oder Neustadt/Dosse, von dort aus 15 bzw. 25 km mit Bus oder Fahrrad
guelpe;Homepage:;https://www.uni-potsdam.de/de/ibb/ibb/standorte/guelpe
rees;Feldstation:;Ökologische Forschungsstation Rees
rees;Träger:;Universität zu Köln, Institut für Zoologie
rees;Landschaft:;in der Aue des Niederrheins, Auengewässer, terrestrische Auenhabitate, Baggerseen
rees;Aktuelle Forschung:;Limnologie und Fischökologie der Auengewässer, Neozoen in Gewässern, Aquatisch-terrestrische Kopplung, Öko-evolutionäre Dynamiken
rees;Zeitraum:;ganzjährig nutzbar
rees;Räumlichkeiten:;Seminar- und Aufenthaltsräume, Labore, eingeschränkt rollstuhlgerecht
rees;Ausstattung:;Feldgeräte für limnologische und fischökologische Untersuchungen, PCR-Labor, Gefriertrocknung, Zentrifuge, Trockenschrank, Muffelofen, Kescher, Boot, 16 Mikroskope, 17 Binokulare, Handbibliothek mit umfangreicher Bestimmungsliteratur
rees;Übernachtung:;26 Personen in 4- und 2-Bettzimmern
rees;Kosten:;€ 12,50 pro Nacht
rees;Verpflegung:;Selbstverpflegung in Küche, nächste Einkaufsmöglichkeit 6 km entfernt
rees;Fachfremde Veranstaltungen:;Forschungszwecke, Lehre, Retreat
rees;Kontakt:;Dr. Kristin Scharnweber
rees;Adresse:;Dores-Albrecht-Str. 12, 46459 Rees-Bienen
rees;Telefon:;0049-2851-8575
rees;Fax:;nein
rees;Email:;kristin.scharnweber[at]uni-koeln.de
rees;Anfahrt:;PKW oder DB (nächster Bahnhof Rees-Millingen)
rees;Homepage:;https://ecological-field-station.uni-koeln.de/
Carolinensiel;Feldstation:;Meeresbiologische Wattstation der Universität Münster in Carolinensiel
Carolinensiel;Träger:;Universität Münster
Carolinensiel;Landschaft:;Nationalpark Niedersächsisches Wattenmeer
Carolinensiel;Aktuelle Forschung:;Marines Plankton, Weichbodenfauna der Gezeitenzone, Klimawandel, Neozoen, Mikroplastik
Carolinensiel;Zeitraum:;ganzjährig nutzbar
Carolinensiel;Räumlichkeiten:;Seminarraum, Kursraum, Trockenlabor, Naßlabor, Außenlabor
